Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4
1;1;5;9;10;8;
2;1;3;6;7;2;
3;1;11;4;1;12;
4;2;6;2;1;9;
5;2;8;12;4;3;
6;2;7;10;11;5;
7;3;12;1;6;5;
8;3;2;7;8;11;
9;3;4;3;9;10;
10;4;4;5;2;1;
11;4;10;11;3;6;
12;4;9;8;12;7;
13;5;10;8;12;2;
14;5;1;9;3;11;
15;5;7;6;5;4;
16;6;2;12;5;3;
17;6;1;7;10;4;
18;6;6;11;9;8;
19;7;6;10;7;12;
20;7;11;2;4;9;
21;7;3;5;8;1;
